city,timestamp,temperature,season
New York,2010-01-01,6.308469431215732,winter
New York,2010-01-02,4.57202316643743,winter
New York,2010-01-03,1.5697126720254628,winter
New York,2010-01-04,-5.062521373193013,winter
New York,2010-01-05,1.4758994979466842,winter
New York,2010-01-06,-9.753521757989624,winter
New York,2010-01-07,-1.7375623888840073,winter
New York,2010-01-08,0.335769308156704,winter
New York,2010-01-09,-2.4054651665272173,winter
New York,2010-01-10,3.0446693573671686,winter
New York,2010-01-11,5.314727772315246,winter
New York,2010-01-12,-1.1487112277462805,winter
New York,2010-01-13,-0.5526299967591709,winter
New York,2010-01-14,-4.624371645627102,winter
New York,2010-01-15,1.2764176204010331,winter
New York,2010-01-16,1.8622574513209031,winter
New York,2010-01-17,13.1462849429524,winter
New York,2010-01-18,1.6284975673622157,winter
New York,2010-01-19,1.2600112423084722,winter
New York,2010-01-20,-11.91694128736592,winter
New York,2010-01-21,-9.581102180969182,winter
New York,2010-01-22,0.29251946976144183,winter
New York,2010-01-23,0.059891087179634206,winter
New York,2010-01-24,5.251672293409454,winter
New York,2010-01-25,-4.580873826468502,winter
New York,2010-01-26,6.369011533246621,winter
New York,2010-01-27,2.8072615698328134,winter
New York,2010-01-28,1.6684455000254994,winter
New York,2010-01-29,7.925684062327832,winter
New York,2010-01-30,-6.047096689902244,winter
New York,2010-01-31,-9.216609663734648,winter
New York,2010-02-01,1.8362510163406887,winter
New York,2010-02-02,-1.4863284014463605,winter
New York,2010-02-03,-2.993869969319409,winter
New York,2010-02-04,1.6789895144761662,winter
New York,2010-02-05,-2.271353195649467,winter
New York,2010-02-06,-3.444223159981956,winter
New York,2010-02-07,-0.484027390310624,winter
New York,2010-02-08,-5.710181945988969,winter
New York,2010-02-09,1.6652973640976831,winter
New York,2010-02-10,-1.7761327133516933,winter
New York,2010-02-11,1.5715387588124332,winter
New York,2010-02-12,-0.764696465015724,winter
New York,2010-02-13,-1.4990940342761092,winter
New York,2010-02-14,0.07573126066987763,winter
New York,2010-02-15,-2.7091789091587213,winter
New York,2010-02-16,-4.516312837486337,winter
New York,2010-02-17,5.171582298683759,winter
New York,2010-02-18,-5.537901307505766,winter
New York,2010-02-19,-3.352273955296676,winter
New York,2010-02-20,7.290122801883427,winter
New York,2010-02-21,5.051234864202275,winter
New York,2010-02-22,5.900141470900247,winter
New York,2010-02-23,-5.492184727045188,winter
New York,2010-02-24,-5.959539118743182,winter
New York,2010-02-25,-2.237967501287517,winter
New York,2010-02-26,8.21322963284041,winter
New York,2010-02-27,-4.2529390685847535,winter
New York,2010-02-28,-3.8381116838058342,winter
New York,2010-03-01,13.069245502580213,spring
New York,2010-03-02,16.366803183455364,spring
New York,2010-03-03,12.57362514175287,spring
New York,2010-03-04,10.795934267264933,spring
New York,2010-03-05,21.64938645059076,spring
New York,2010-03-06,9.663560957641042,spring
New York,2010-03-07,15.212796954029074,spring
New York,2010-03-08,2.134196392099504,spring
New York,2010-03-09,7.629167392412769,spring
New York,2010-03-10,5.726466192254094,spring
New York,2010-03-11,7.059906971830077,spring
New York,2010-03-12,13.141341485171539,spring
New York,2010-03-13,11.291174430262853,spring
New York,2010-03-14,10.934461920510163,spring
New York,2010-03-15,7.648711169284542,spring
New York,2010-03-16,12.285807001091378,spring
New York,2010-03-17,20.357359238792327,spring
New York,2010-03-18,7.453167091140673,spring
New York,2010-03-19,11.874259165651816,spring
New York,2010-03-20,-0.5013171670277594,spring
New York,2010-03-21,5.32811541008369,spring
New York,2010-03-22,1.7974696141187008,spring
New York,2010-03-23,15.142369370474825,spring
New York,2010-03-24,5.67234212193525,spring
New York,2010-03-25,9.249153238319138,spring
New York,2010-03-26,14.115990636157845,spring
New York,2010-03-27,9.592529213718924,spring
New York,2010-03-28,11.770361729306472,spring
New York,2010-03-29,5.9113036817966345,spring
New York,2010-03-30,2.6802940319311928,spring
New York,2010-03-31,24.534049173020684,spring
New York,2010-04-01,12.341370142762045,spring
New York,2010-04-02,10.708274430948522,spring
New York,2010-04-03,15.715757153330584,spring
New York,2010-04-04,12.14843337382522,spring
New York,2010-04-05,7.629223262169153,spring
New York,2010-04-06,15.478822829473113,spring
New York,2010-04-07,11.865208104504323,spring
New York,2010-04-08,12.389111446307894,spring
New York,2010-04-09,16.338289848250533,spring
New York,2010-04-10,10.834091106012348,spring
New York,2010-04-11,11.761978735760112,spring
New York,2010-04-12,8.827361613701342,spring
New York,2010-04-13,4.862781860844984,spring
New York,2010-04-14,8.826134445463728,spring
New York,2010-04-15,12.132403078642522,spring
New York,2010-04-16,13.717172283012015,spring
New York,2010-04-17,15.710912308292716,spring
New York,2010-04-18,11.362640881764012,spring
New York,2010-04-19,0.023650202697378386,spring
New York,2010-04-20,15.180111241839406,spring
New York,2010-04-21,15.279999951548591,spring
New York,2010-04-22,9.959187998363054,spring
New York,2010-04-23,19.250499611288426,spring
New York,2010-04-24,19.13689212288798,spring
New York,2010-04-25,13.24371210956205,spring
New York,2010-04-26,5.495594700937137,spring
New York,2010-04-27,6.450959332928107,spring
New York,2010-04-28,14.057871715625598,spring
New York,2010-04-29,6.921757807863525,spring
New York,2010-04-30,6.947170605091709,spring
New York,2010-05-01,4.036328448519864,spring
New York,2010-05-02,6.4853463933605395,spring
New York,2010-05-03,8.375127813026445,spring
New York,2010-05-04,5.398368657582898,spring
New York,2010-05-05,14.180712889711959,spring
New York,2010-05-06,6.666106951668832,spring
New York,2010-05-07,7.479108134392579,spring
New York,2010-05-08,18.91026458858438,spring
New York,2010-05-09,6.2942834473442675,spring
New York,2010-05-10,16.17735650975756,spring
New York,2010-05-11,6.261123007132251,spring
New York,2010-05-12,10.173894595677712,spring
New York,2010-05-13,2.102407939694755,spring
New York,2010-05-14,6.267333328952617,spring
New York,2010-05-15,4.801574750194375,spring
New York,2010-05-16,8.682232658122157,spring
New York,2010-05-17,14.115844869527786,spring
New York,2010-05-18,0.23998361104509924,spring
New York,2010-05-19,4.284844779779995,spring
New York,2010-05-20,12.117298612345328,spring
New York,2010-05-21,17.595211549460103,spring
New York,2010-05-22,11.976561227044076,spring
New York,2010-05-23,14.809421064853394,spring
New York,2010-05-24,15.503953212475585,spring
New York,2010-05-25,9.015926813325072,spring
New York,2010-05-26,16.45992910198481,spring
New York,2010-05-27,10.439543231413841,spring
New York,2010-05-28,5.982194199743841,spring
New York,2010-05-29,10.256026988876625,spring
New York,2010-05-30,-0.3103864938042822,spring
New York,2010-05-31,7.805539766997907,spring
New York,2010-06-01,27.883692922500966,summer
New York,2010-06-02,17.29690178563407,summer
New York,2010-06-03,26.304342990257517,summer
New York,2010-06-04,19.9195622315064,summer
New York,2010-06-05,16.12298314363015,summer
New York,2010-06-06,25.7719665885578,summer
